Colony,Fragment,Experiment
79,383-G,Control-BuoyantWeight
79,386-G,Not used
79,387-G,Bleaching2
79,388-G,Not used
79,389-G,Bleaching2
79,390-G,Not used
90,392-G,Bleaching2
90,394-G,Not used
90,397-G,Not used
90,399-G,Bleaching2
90,401-G,Not used
90,402-G,Not used
90,403-G,Bleaching2
90,404-G,Not used
90,405-G,Not used
90,406-G,Not used
90,407-G,Not used
90,408-G,Not used
90,409-G,Not used
96,412-G,Not used
96,414-G,Not used
96,415-G,Not used
96,416-G,Not used
96,417-G,Bleaching2
96,418-G,Control-BuoyantWeight
96,420-G,Bleaching2
96,421-G,Control-BuoyantWeight
96,422-G,Bleaching2
96,424-G,Bleaching2
96,425-G,Bleaching2
96,427-G,Control-BuoyantWeight
96,428-G,Bleaching2
96,430-G,Not used
96,432-G,Bleaching2
96,434-G,Bleaching2
96,435-G,Not used
96,436-G,Not used
96,437-G,Bleaching2
96,438-G,Bleaching2
96,439-G,Not used
96,440-G,Not used
96,441-G,Control-BuoyantWeight
35,443-G,Bleaching2
35,444-G,Bleaching2
35,448-G,Bleaching2
35,449-G,Control-BuoyantWeight
35,450-G,Control-BuoyantWeight
35,451-G,Control-BuoyantWeight
35,452-G,Bleaching2
35,453-G,Bleaching2
31,454-G,Control-BuoyantWeight
35,456-G,Bleaching2
35,457-G,Bleaching2
37,458-G,Not used
35,459-G,Bleaching2
44,461-G,Control-BuoyantWeight
44,463-G,Bleaching2
44,464-G,Control-BuoyantWeight
44,465-G,Control-BuoyantWeight
44,466-G,Not used
44,467-G,Not used
44,469-G,Not used
44,470-G,Not used
44,472-G,Not used
44,475-G,Control-BuoyantWeight
44,476-G,Not used
44,477-G,Not used
44,478-G,Not used
30,482-G,Bleaching2
30,483-G,Not used
30,484-G,Control-BuoyantWeight
30,485-G,Control-BuoyantWeight
30,486-G,Not used
30,487-G,Not used
30,488-G,Bleaching2
30,489-G,Bleaching2
30,493-G,Bleaching2
30,494-G,Control-BuoyantWeight
30,496-G,Control-BuoyantWeight
30,497-G,Not used
